destination,forecast_date,daily_avg_temp_c,daily_min_temp_c,daily_max_temp_c,daily_avg_humidity_pct,daily_avg_cloudiness_pct,daily_avg_wind_speed_mps,daily_max_wind_speed_mps,most_common_description
"New York City, United States",2026-06-27,23.81,18.75,27.83,67.625,86.5,3.03375,4.55,light rain
"New York City, United States",2026-06-28,24.55875,19.91,28.91,63.875,71.625,2.29125,3.24,broken clouds
"New York City, United States",2026-06-29,25.90875,22.45,30.23,53.625,50.5,3.1025,5.61,broken clouds
"New York City, United States",2026-06-30,25.00625,22.11,28.38,57.0,52.125,3.76375,5.99,broken clouds
"New York City, United States",2026-07-01,24.814999999999998,22.56,28.19,76.0,67.16666666666667,2.3816666666666664,3.8,light rain
"Siem Reap, Cambodia",2026-06-26,26.85,26.31,27.39,81.0,63.0,2.0300000000000002,2.19,light rain
"Siem Reap, Cambodia",2026-06-27,29.825,26.31,35.74,68.25,91.25,3.09625,4.82,light rain
"Siem Reap, Cambodia",2026-06-28,29.853749999999998,25.84,35.45,70.0,99.25,2.85,3.6,light rain
"Siem Reap, Cambodia",2026-06-29,29.65875,25.76,35.92,69.25,99.625,3.2575,4.37,overcast clouds
"Siem Reap, Cambodia",2026-06-30,28.365000000000002,25.42,32.75,74.875,90.625,3.19625,4.44,overcast clouds
"Siem Reap, Cambodia",2026-07-01,28.248333333333335,26.24,31.15,76.5,97.66666666666667,4.71,6.6,light rain
"Istanbul, Türkiye",2026-06-26,27.895,27.23,28.56,67.5,0.0,4.555,5.7,clear sky
"Istanbul, Türkiye",2026-06-27,24.94125,22.31,28.54,61.25,0.0,6.08625,8.05,clear sky
"Istanbul, Türkiye",2026-06-28,24.6825,21.92,27.69,59.75,0.875,6.935,8.66,clear sky
"Istanbul, Türkiye",2026-06-29,25.6875,21.7,29.91,58.375,0.0,6.03,7.99,clear sky
"Istanbul, Türkiye",2026-06-30,26.20625,22.39,30.47,57.75,0.0,5.967499999999999,8.36,clear sky
"Istanbul, Türkiye",2026-07-01,26.919999999999998,22.24,31.0,62.333333333333336,0.0,2.6483333333333334,4.7,clear sky
"Cusco, Peru",2026-06-26,12.36,11.7,14.26,43.0,65.0,1.865,2.02,broken clouds
"Cusco, Peru",2026-06-27,9.45875,4.69,15.82,62.375,39.375,1.485,2.44,few clouds
"Cusco, Peru",2026-06-28,9.532499999999999,4.6,16.03,63.375,17.625,1.65125,4.29,clear sky
"Cusco, Peru",2026-06-29,9.098749999999999,4.12,15.34,53.0,24.625,1.5675,3.19,clear sky
"Cusco, Peru",2026-06-30,8.92125,4.23,15.03,58.875,26.75,1.4725000000000001,3.39,clear sky
